470	0.997876858	1.097431543	1.196943973	1.296414174	1.495227996	1.594571671	1.793132683
510	0.998043053	1.097632557	1.197183099	1.2966947	1.495601173	1.594996091	1.793669402
560	0.998217469	1.097843522	1.19743407	1.296989132	1.495992876	1.595441595	1.794232823
620	0.998389694	1.098051844	1.197681906	1.297279897	1.496379726	1.595881596	1.794789321
680	0.998531571	1.098223462	1.197886083	1.297519448	1.496698459	1.596244131	1.795247873
750	0.998668442	1.098389029	1.198083067	1.297750566	1.497005988	1.596593933	1.795690343
820	0.998781973	1.098526367	1.198246469	1.297942287	1.497261108	1.596884129	1.796057435
910	0.998902305	1.098671935	1.198419666	1.298145506	1.497531541	1.597191751	1.796446589
1000	0.999000999	1.09879133	1.198561726	1.298312194	1.49775337	1.597444089	1.796765822
1100	0.999091735	1.098901099	1.198692336	1.29846545	1.497957331	1.597676107	1.797059357
1200	0.999167361	1.09899259	1.198801199	1.298593191	1.498127341	1.597869507	1.797304044
1300	0.99923136	1.099070018	1.198893329	1.298701299	1.498271226	1.59803319	1.797511138
1500	0.999333777	1.099193924	1.199040767	1.298874309	1.498501499	1.598295152	1.797842589
1600	0.99937539	1.09924427	1.199100674	1.298944608	1.498595067	1.598401598	1.797977276
1800	0.999444753	1.099328188	1.199200533	1.299061789	1.498751041	1.598579041	1.798201798
2000	0.99950025	1.099395333	1.199280432	1.299155549	1.498875843	1.598721023	1.798381457
2200	0.999545661	1.099450275	1.199345811	1.299232272	1.49897797	1.598837209	1.798528477
2400	0.999583507	1.099496064	1.1994003	1.299296215	1.499063086	1.598934044	1.798651012
2700	0.999629767	1.099552034	1.199466904	1.299374375	1.499167129	1.599052413	1.798800799
3000	0.999666778	1.099596815	1.199520192	1.299436911	1.499250375	1.599147122	1.798920648
3300	0.999697061	1.099633456	1.199563795	1.29948808	1.499318492	1.599224618	1.799018717
3600	0.999722299	1.099663992	1.199600133	1.299530725	1.49937526	1.599289205	1.79910045
3900	0.999743655	1.099689831	1.199630883	1.299566811	1.499423299	1.599343859	1.799169614
4300	0.999767496	1.099718677	1.19966521	1.299607096	1.499476927	1.599404873	1.799246827
4700	0.999787279	1.099742613	1.199693695	1.299640525	1.499521429	1.599455505	1.799310902
5100	0.99980396	1.099762796	1.199717713	1.299668712	1.499558953	1.599498197	1.79936493
